ARSENAL,ENGLAND,1874
BOURNEMOUTH,ENGLAND,1624
BURNLEY,ENGLAND,1655
CHELSEA,ENGLAND,1844
CRYSTAL PALACE,ENGLAND,1630
EVERTON,ENGLAND,1715
HULL CITY,ENGLAND,1583
LEICESTER,ENGLAND,1783
LIVERPOOL,ENGLAND,1844
MANCHESTER CITY,ENGLAND,1880
MANCHESTER  UNITED,ENGLAND,1778
MIDDLESBROUGH,ENGLAND,1615
SOUTHAMPTON,ENGLAND,1759
TOTTENHAM HOTSPUR,ENGLAND,1819
STOKE CITY,ENGLAND,1678
SUNDERLAND AFC,ENGLAND,1614
SWANSEA CITY,ENGLAND,1642
WATFORD FC,ENGLAND,1649
WEST BROMWICH ALBION,ENGLAND,1658
WEST HAM UNITED,ENGLAND,1663
